method,step,value
catp_llm_train_loss,449.0,0.252929
catp_llm_train_loss,450.0,0.187853
catp_llm_train_loss,451.0,0.27284
catp_llm_train_loss,452.0,0.2944
catp_llm_train_loss,453.0,0.424961
catp_llm_train_loss,454.0,0.465042
catp_llm_train_loss,455.0,0.28263
catp_llm_train_loss,456.0,0.307834
catp_llm_train_loss,457.0,0.2921
catp_llm_train_loss,458.0,0.289317
catp_llm_train_loss,459.0,0.317897
catp_llm_train_loss,460.0,0.461093
catp_llm_train_loss,461.0,0.435637
catp_llm_train_loss,462.0,0.561234
catp_llm_train_loss,463.0,0.64639
catp_llm_train_loss,464.0,0.579119
catp_llm_train_loss,465.0,0.57085
catp_llm_train_loss,466.0,1.694288
catp_llm_train_loss,467.0,0.39883
catp_llm_train_loss,468.0,0.295475
catp_llm_train_loss,469.0,0.236474
catp_llm_train_loss,470.0,0.227757
catp_llm_train_loss,471.0,0.223143
catp_llm_train_loss,472.0,0.194926
catp_llm_train_loss,473.0,0.233773
catp_llm_train_loss,474.0,0.261131
catp_llm_train_loss,475.0,0.433159
catp_llm_train_loss,476.0,0.443599
catp_llm_train_loss,477.0,0.345211
catp_llm_train_loss,478.0,0.371386
catp_llm_train_loss,479.0,0.274978
catp_llm_train_loss,480.0,0.382861
catp_llm_train_loss,481.0,0.323865
catp_llm_train_loss,482.0,0.39847
catp_llm_train_loss,483.0,0.392583
catp_llm_train_loss,484.0,0.358116
catp_llm_train_loss,485.0,0.303139
catp_llm_train_loss,486.0,0.230743
catp_llm_train_loss,487.0,0.328308
catp_llm_train_loss,488.0,0.38128
catp_llm_train_loss,489.0,0.391884
catp_llm_train_loss,490.0,0.385371
catp_llm_train_loss,491.0,0.463632
catp_llm_train_loss,492.0,0.446772
catp_llm_train_loss,493.0,0.565206
catp_llm_train_loss,494.0,0.565246
catp_llm_train_loss,495.0,0.317188
catp_llm_train_loss,496.0,0.346907
catp_llm_train_loss,497.0,0.269853
catp_llm_train_loss,498.0,0.392871
catp_llm_train_loss,499.0,0.429398
catp_llm_train_loss,500.0,0.339929
catp_llm_train_loss,501.0,0.473875
catp_llm_train_loss,502.0,0.36399
catp_llm_train_loss,503.0,0.47405
catp_llm_train_loss,504.0,0.496178
catp_llm_train_loss,505.0,0.317068
catp_llm_train_loss,506.0,0.311591
catp_llm_train_loss,507.0,0.280185
catp_llm_train_loss,508.0,0.320423
catp_llm_train_loss,509.0,0.362908
catp_llm_train_loss,510.0,0.252389
catp_llm_train_loss,511.0,0.276824
catp_llm_train_loss,512.0,0.385485
catp_llm_train_loss,513.0,0.447687
catp_llm_train_loss,514.0,0.46431
catp_llm_train_loss,515.0,0.442366
catp_llm_train_loss,516.0,0.319959
catp_llm_train_loss,517.0,0.281837
catp_llm_train_loss,518.0,0.18116
catp_llm_train_loss,519.0,0.25433
catp_llm_train_loss,520.0,0.25135
catp_llm_train_loss,521.0,0.416165
catp_llm_train_loss,522.0,0.403137
catp_llm_train_loss,523.0,0.459678
catp_llm_train_loss,524.0,0.464069
catp_llm_train_loss,525.0,0.529781
catp_llm_train_loss,526.0,0.465437
catp_llm_train_loss,527.0,0.297065
catp_llm_train_loss,528.0,0.265354
catp_llm_train_loss,529.0,0.23517
catp_llm_train_loss,530.0,0.417383
catp_llm_train_loss,531.0,0.457126
catp_llm_train_loss,532.0,0.31192
catp_llm_train_loss,533.0,0.353823
catp_llm_train_loss,534.0,0.306773
catp_llm_train_loss,535.0,0.37876
catp_llm_train_loss,536.0,0.33181
catp_llm_train_loss,537.0,0.43731
catp_llm_train_loss,538.0,0.46847
catp_llm_train_loss,539.0,1.444845
catp_llm_train_loss,540.0,0.354919
catp_llm_train_loss,541.0,0.251781
catp_llm_train_loss,542.0,0.269356
catp_llm_train_loss,543.0,0.26062
catp_llm_train_loss,544.0,0.356128
catp_llm_train_loss,545.0,0.405911
catp_llm_train_loss,546.0,0.385518
catp_llm_train_loss,547.0,0.390979
catp_llm_train_loss,548.0,0.388984
catp_llm_train_loss,549.0,0.336299
